camera_ID,camera_name,camera_type,color,weight,preset_modes,effects,price,resolution,optical_zoom,settings,autofocus_points,sensor_size,ISO,long_exposure
CAMERA_19,Canon Powershot Elph 190 IS,point and shoot camera,"red, blue, or black",140 grams,"13 shooting modes (e.g. portrait, low light, and fish-eye)",,$180,20 megapixels,12x optical zoom,limited manual settings,,1/2.3 inch CMOS sensor,100 to 1600 ISO,
CAMERA_20,Canon EOS R,DSLR camera,black,660 grams,,,$2700,30.3 megapixels,,manual and automatic settings,up to 5655 autofocus points,,100 to 40000 ISO,expose as long as you want with bulb mode
CAMERA_21,Panasonic LUMIX GH5s C4K Mirrorless ILC Camera,digital single lens mirrorless camera,black,580 grams,various preset modes,22 creative mode settings (e.g. retro and sepia),$2500,11.93 megapixels,,manual and automatic settings,225 autofocus points,17.3 x 13.0 mm sensor,up to 51200 ISO,up to 30 minutes with bulb mode
CAMERA_22,Panasonic Lumix DMC-ZS3,4K point and shoot camera,"black, red, or silver",220 grams,"more  than 20 preset modes (e.g. soft skin, sports, and beach)",,$100,10.1 megapixels,12x optical zoom,limited manual settings,11 autofocus points,1/2.33 inch sensor,up to 6400 ISO,up to 60 seconds with starry sky mode
CAMERA_23,Panasonic Lumix ZS200,point and shoot camera,black or gray,340 grams,"25 scene modes (e.g. silky skin, relaxing tone, and sweet child's face)",22 creative mode settings (e.g. retro and sepia),$800,20.1 megapixels,15x optical zoom,manual and automatic settings,49 autofocus points,1 inch High Sensitivity MOS Sensor,80 to 25600 ISO,up to 60 seconds
CAMERA_24,Panasonic LUMIX FZ80,4K point and shoot long zoom camera,black,620 grams,,,$400,18.1 megapixels,60x optical zoom,limited manual settings,,1/2.33 inch MOS sensor,80 to 6400 ISO,up to 60 seconds in night scene mode
CAMERA_25,Panasonic Lumix DC-ZS70,4k point and shoot camera,black or gray,320 grams,"25 scene modes (e.g. silky skin, relaxing tone, and sweet child's face)",22 creative mode settings (e.g. retro and sepia),$400,20.3 megapixels,30x optical zoom,manual and automatic settings,49 autofocus points,1/2.3 inch High Sensitivity MOS Sensor,80 to 6400 ISO,up to 30 seconds with artistic nightscape mode
CAMERA_26,Panasonic Lumix DC-TS7K,waterproof tough point and shoot camera,"black, blue, or orange",320 grams,"21 scene modes (e.g. silky skin, romantic sunset glow, and apetizing food)",22 creative mode settings (e.g. retro and sepia),$450,20.4 megapixels,4.6x optical zoom,limited manual settings,49 autofocus points,1/2.3 inch High Sensitivity MOS Sensor,80 to 6400 ISO,up to 4 seconds
CAMERA_27,Panasonic Lumix GX8 ,4K mirrorless interchangeable lens camera,black,490 grams,,,$1200,20.3 megapixels,,manual and automatic settings,49 autofocus points,17.3 x 13 mm MOS sensor,100 to 25600 ISO,up to 30 minutes with bulb mode
CAMERA_28,Fujifilm X100T,premium compact digital camera,black or silver,440 grams,,8 advanced filters (e.g. toy camera and miniature),$980,16.3 megapixels,no optical zoom,manual and automatic settings,49 autofocus points,23.6 x 15.6 mm (APS-C) X-Trans CMOS II sensor,up to 6400 ISO,up to 60 minutes with bulb mode
CAMERA_29,Fujifilm X-T20,mirrorless camera,black or silver,380 grams,,8 advanced filters (e.g. toy camera and miniature),$600,24.3 megapixels,,manual and automatic settings,91 autofocus points,23.6 x 15.6 mm (APS-C) X-Trans CMOS II sensor,up to 12800 ISO,up to 60 minutes with bulb mode
CAMERA_30,Fujifilm FinePix XP130,waterproof digital camera,"white, dark silver, yellow, lime, or sky blue",210 grams,,"11 advanced filters (e.g. toy camera, miniature, and sketch)",$170,16.4 megapixels,5x optical zoom,limited manual settings,,1/2.3 inch CMOS sensor,100 to 6400 ISO,up to 4 seconds
CAMERA_31,Fujifilm FinePix XP80,waterproof digital camera,"graphite black, blue, yellow, or purple",180 grams,"13 shooting modes (e.g. sport, snow, and beach)","11 advanced filters (e.g. toy camera, miniature, and sketch)",$130,16.4 megapixels,5x optical zoom,limited manual settings,,1/2.3 inch CMOS sensor,100 to 6400 ISO,up to 4 seconds
CAMERA_32,Fujifilm FinePix JX660,point and shoot camera,red or black,120 grams,"22 shooting modes (e.g. baby, fireworks, and party)","12 advanced filters (e.g. toy camera, miniature, and soft focus)",$100,16 megapixels,5x optical zoom,limited manual settings,,1/2.3 inch CCD sensor,100 to 3200 ISO,up to 8 seconds
CAMERA_33,Fujifilm GFX 50R,mirrorless digital camera,black,775 grams,,,$5500,51.4 megapixels,,manual and automatic settings,up to 425 autofocus points,43.8 x 32.9 mm Bayer array sensor,50 to 102400 ISO,up to 60 minutes with bulb mode
