ACTION,TOPIC,CAMERA_OF_CONVERSATION,UTTERANCE
S_ANSWERS_QUESTION_ABOUT_FEATURE,manual_settings,,This one has {}.
S_ANSWERS_QUESTION_ABOUT_FEATURE,megapixels,CAMERA_X,#
S_ANSWERS_QUESTION_ABOUT_FEATURE,megapixels_what,CAMERA_X,the megapixel tells you how much detail can be captured in the photograph.
S_ANSWERS_QUESTION_ABOUT_FEATURE,mirrorless,CAMERA_X,#
S_ANSWERS_QUESTION_ABOUT_FEATURE,mirrorless_what,CAMERA_X,#
S_ANSWERS_QUESTION_ABOUT_FEATURE,motion,CAMERA_X,#
S_ANSWERS_QUESTION_ABOUT_FEATURE,movement,CAMERA_X,#
S_ANSWERS_QUESTION_ABOUT_FEATURE,optical_zoom,CAMERA_X,This one has {}.
S_ANSWERS_QUESTION_ABOUT_FEATURE,optical_zoom_what,CAMERA_X,Optical zoom allows you to get a close up of whatever you're taking a picture of.
S_ANSWERS_QUESTION_ABOUT_FEATURE,pink,CAMERA_X,This one comes in {}.
S_ANSWERS_QUESTION_ABOUT_FEATURE,point_and_shoot,CAMERA_X,#
S_ANSWERS_QUESTION_ABOUT_FEATURE,preset_modes,CAMERA_X,This one has {}.
S_ANSWERS_QUESTION_ABOUT_FEATURE,preset_modes_what,CAMERA_X,"Basically preset modes are automatic settings for shooting in certain conditions, like if you are at the beach or taking a portrait."
S_ANSWERS_QUESTION_ABOUT_FEATURE,price,CAMERA_X,This one costs {}.
S_ANSWERS_QUESTION_ABOUT_FEATURE,red,CAMERA_X,This one comes in {}.
S_ANSWERS_QUESTION_ABOUT_FEATURE,resolution,CAMERA_X,This one has {} resolution.
S_ANSWERS_QUESTION_ABOUT_FEATURE,sensor_size,CAMERA_X,This one has a {}.
S_ANSWERS_QUESTION_ABOUT_FEATURE,sensor_size_what,CAMERA_X,the sensor size is how big the frame of you take each picture.
S_ANSWERS_QUESTION_ABOUT_FEATURE,settings,CAMERA_X,This one has {}.
S_ANSWERS_QUESTION_ABOUT_FEATURE,weight,CAMERA_X,This one weighs {}.
S_ANSWERS_QUESTION_ABOUT_FEATURE,white,CAMERA_X,This one comes in {}.
S_ANYTHING_ELSE_I_CAN_HELP_WITH,,,is there anything else I can help you with today?
S_GOODBYE,,,have a great day.
S_GOODBYE,,,anytime have a good evening
S_GOODBYE,,,anytime have a good evening
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon
S_GOODBYE,,,have a good afternoon 
S_GOODBYE,,,have a good afternoon 
S_GOODBYE,,,have a great afternoon come in anytime and we can give you some more information sir
S_GOODBYE,,,have a great afternoon come in anytime and we can give you some more information sir
S_GOODBYE,,,have a great day
S_GOODBYE,,,have a great day
S_GOODBYE,,,no worries please come again
S_GOODBYE,,,no worries please come again
S_GOODBYE,,,okay we'll see you tomorrow have a good evening thank you
S_GOODBYE,,,okay we'll see you tomorrow have a good evening thank you
S_GOODBYE,,,please come again
S_GOODBYE,,,please come again
S_GOODBYE,,,see you soon
S_GOODBYE,,,see you soon
S_GOODBYE,,,see you soon
S_GOODBYE,,,see you soon
S_GOODBYE,,,See you then have a great afternoon thank you
S_GOODBYE,,,See you then have a great afternoon thank you
S_GOODBYE,,,see you then thank you see you soon
S_GOODBYE,,,see you then thank you see you soon
S_GOODBYE,,,thank you have a good evening
S_GOODBYE,,,thank you have a good evening
S_GOODBYE,,,thank you please come again
S_GOODBYE,,,thank you please come again
S_GOODBYE,,,thank you please come this way
S_GOODBYE,,,thank you please come this way
S_GOODBYE,,,We'll see you then have a good evening
S_GOODBYE,,,We'll see you then have a good evening
S_GOODBYE,,,Yes definitely please come again
S_GOODBYE,,,Yes definitely please come again
S_GOODBYE,,,yes please come again
S_GOODBYE,,,yes please come again
S_GOODBYE,,,you too see you soon thank you
S_GOODBYE,,,you too see you soon thank you
S_GREET_RESPONSE,,,how can I help you today?
S_GREET_RESPONSE,,,can I help you today
S_GREET_RESPONSE,,,can I help you today
S_GREET_RESPONSE,,,certainly how can I help
S_GREET_RESPONSE,,,certainly how can I help
S_GREET_RESPONSE,,,hi how can I help
S_GREET_RESPONSE,,,hi how can I help
S_GREET_RESPONSE,,,hi how can I help
S_GREET_RESPONSE,,,hi how can I help
S_GREET_RESPONSE,,,hi how can i help you
S_GREET_RESPONSE,,,hi how can i help you
S_GREET_RESPONSE,,,hi how can I help?
S_GREET_RESPONSE,,,hi how can I help?
S_GREET_RESPONSE,,,how can I help
S_GREET_RESPONSE,,,how can I help
S_GREET_RESPONSE,,,how can I help
S_GREET_RESPONSE,,,how can I help
S_GREET_RESPONSE,,,how can I help
S_GREET_RESPONSE,,,how can I help
S_GREET_RESPONSE,,,how can I help
S_GREET_RESPONSE,,,how can I help
S_GREET_RESPONSE,,,how can I help
S_GREET_RESPONSE,,,how can I help
S_GREET_RESPONSE,,,how can I help
S_GREET_RESPONSE,,,how can I help
S_GREET_RESPONSE,,,how can I help
S_GREET_RESPONSE,,,how can I help
S_GREET_RESPONSE,,,how can I help
S_GREET_RESPONSE,,,how can I help
S_GREET_RESPONSE,,,how can I help ya
S_GREET_RESPONSE,,,how can I help ya
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today
S_GREET_RESPONSE,,,how can I help you today I'm looking for
S_GREET_RESPONSE,,,how can I help you today I'm looking for
S_GREET_RESPONSE,,,how may I help you
S_GREET_RESPONSE,,,how may I help you
S_GREET_RESPONSE,,,sure how can I help
S_GREET_RESPONSE,,,sure how can I help
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you
S_GREET_RESPONSE,,,yes how can I help you today
S_GREET_RESPONSE,,,yes how can I help you today
S_GREET_RESPONSE,,,yes how can I help you today
S_GREET_RESPONSE,,,yes how can I help you today
S_GREET_RESPONSE,,,yes how can I help you today
S_GREET_RESPONSE,,,yes how can I help you today
S_GREET_RESPONSE,,,yes how can I help you today
S_GREET_RESPONSE,,,yes how can I help you today
S_GREET_RESPONSE,,,yes how can I help you today
S_GREET_RESPONSE,,,yes how can I help you today
S_GREET_RESPONSE,,,yes how may I help you
S_GREET_RESPONSE,,,yes how may I help you
S_GREET_RESPONSE,,,yes how may I help you
S_GREET_RESPONSE,,,yes how may I help you
S_GREET_RESPONSE,,,yes how may I help you today
S_GREET_RESPONSE,,,yes how may I help you today
S_GREET_RESPONSE,,,yes how may I help you yes
S_GREET_RESPONSE,,,yes how may I help you yes
S_GREETS,,,can I help you?
S_GREETS,,,can I help you
S_GREETS,,,can I help you
S_GREETS,,,can I help you
S_GREETS,,,can I help you
S_GREETS,,,can I help you
S_GREETS,,,can I help you
S_GREETS,,,can I help you
S_GREETS,,,can i help you
S_GREETS,,,can i help you
S_GREETS,,,can I help you
S_GREETS,,,can I help you
S_GREETS,,,can I help you
S_GREETS,,,can I help you
S_GREETS,,,can I help you
S_GREETS,,,can I help you
S_GREETS,,,can I help you
S_GREETS,,,do you need any artsy effect
S_GREETS,,,do you need any artsy effect
S_GREETS,,,do you need any help
S_GREETS,,,do you need any help
S_GREETS,,,do you need anything
S_GREETS,,,do you need anything
S_GREETS,,,do you need help with anything there
S_GREETS,,,do you need help with anything there
S_GREETS,,,good afternoon
S_GREETS,,,good afternoon
S_GREETS,,,good afternoon
S_GREETS,,,good afternoon
S_GREETS,,,good afternoon
S_GREETS,,,good afternoon
S_GREETS,,,good afternoon
S_GREETS,,,good afternoon
S_GREETS,,,good afternoon
S_GREETS,,,good afternoon
S_GREETS,,,good afternoon
S_GREETS,,,good afternoon
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can i help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can i help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help
S_GREETS,,,good afternoon how can I help today
S_GREETS,,,good afternoon how can I help today
S_GREETS,,,good afternoon how can I help today
S_GREETS,,,good afternoon how can I help today
S_GREETS,,,good afternoon how can I help today
S_GREETS,,,good afternoon how can I help today
S_GREETS,,,good afternoon how can I help today
S_GREETS,,,good afternoon how can I help today
S_GREETS,,,good afternoon how can I help today
S_GREETS,,,good afternoon how can I help today
S_GREETS,,,good afternoon how can I help today
S_GREETS,,,good afternoon how can I help today
S_GREETS,,,good afternoon how can I help today
S_GREETS,,,good afternoon how can I help today
S_GREETS,,,good afternoon how can I help you
S_GREETS,,,good afternoon how can I help you
S_GREETS,,,good afternoon how can I help you
S_GREETS,,,good afternoon how can I help you
S_GREETS,,,good afternoon how can I help you
S_GREETS,,,good afternoon how can I help you
S_GREETS,,,good afternoon how can I help you
S_GREETS,,,good afternoon how can I help you
S_GREETS,,,good afternoon how can I help you
S_GREETS,,,good afternoon how can I help you
S_GREETS,,,good afternoon how can I help you 
S_GREETS,,,good afternoon how can I help you 
S_GREETS,,,good afternoon how can I help you today
S_GREETS,,,good afternoon how can I help you today
S_GREETS,,,good afternoon how can I help you today
S_GREETS,,,good afternoon how can I help you today
S_GREETS,,,good afternoon how can I help you today
S_GREETS,,,good afternoon how can I help you today
S_GREETS,,,hello do you need any help there
S_GREETS,,,hello do you need any help there
S_GREETS,,,hi
S_GREETS,,,hi
S_GREETS,,,hi
S_GREETS,,,hi
S_GREETS,,,hi how's it going
S_GREETS,,,hi how's it going
S_GREETS,,,hi how's it going
S_GREETS,,,hi how's it going
S_GREETS,,,hi there
S_GREETS,,,hi there
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you
S_GREETS,,,how can I help you?
S_GREETS,,,how can I help you?
S_GREETS,,,how may I help you today
S_GREETS,,,how may I help you today
S_GREETS,,,I don't think you should drop it
S_GREETS,,,I don't think you should drop it
S_GREETS,,,is there anything I can help
S_GREETS,,,is there anything I can help
S_GREETS,,,is there anything I can help free today
S_GREETS,,,is there anything I can help free today
S_GREETS,,,is there anything I can help you
S_GREETS,,,is there anything I can help you
S_GREETS,,,is there anything i can help you with
S_GREETS,,,is there anything i can help you with
S_GREETS,,,it's good afternoon how can I help
S_GREETS,,,it's good afternoon how can I help
S_GREETS,,,may I help you
S_GREETS,,,may I help you
S_GREETS,,,may I help you
S_GREETS,,,may I help you
S_GREETS,,,may I help you
S_GREETS,,,may I help you
S_GREETS,,,may I help you
S_GREETS,,,may I help you
S_GREETS,,,may I help you
S_GREETS,,,may I help you
S_GREETS,,,may I help you
S_GREETS,,,may I help you
S_GREETS,,,may I help you
S_GREETS,,,may I help you
S_GREETS,,,may I help you today
S_GREETS,,,may I help you today
S_GREETS,,,what can I do for you
S_GREETS,,,what can I do for you
S_GREETS,,,yes what can I do for you
S_GREETS,,,yes what can I do for you
S_GREETS,,,yes what can I do for you today
S_GREETS,,,yes what can I do for you today
S_INTRODUCES_CAMERA,,CAMERA_X,Let me show you this. Here we have the {}.
S_INTRODUCES_FEATURE,autofocus_points,CAMERA_X,This one has {}.
S_INTRODUCES_FEATURE,camera_type,CAMERA_X,This is a {}.
S_INTRODUCES_FEATURE,color,CAMERA_X,This one comes in {}.
S_INTRODUCES_FEATURE,effects,CAMERA_X,This one has {}.
S_INTRODUCES_FEATURE,ISO,CAMERA_X,This one has {}.
S_INTRODUCES_FEATURE,long_exposure,CAMERA_X,This one can take long exposures up to {}.
S_INTRODUCES_FEATURE,optical_zoom,CAMERA_X,This one has {}.
S_INTRODUCES_FEATURE,preset_modes,CAMERA_X,This one has {}.
S_INTRODUCES_FEATURE,price,CAMERA_X,This one costs {}.
S_INTRODUCES_FEATURE,resolution,CAMERA_X,This one has {} resolution.
S_INTRODUCES_FEATURE,sensor_size,CAMERA_X,This one has a {}.
S_INTRODUCES_FEATURE,settings,CAMERA_X,This one has {}.
S_INTRODUCES_FEATURE,weight,CAMERA_X,This one weighs {}.
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,if you have any more questions please let me know.
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,any other questions
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,any other questions
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,do you have any question
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,do you have any question
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,do you have anything else to ask please let me know
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,do you have anything else to ask please let me know
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,feel free to browse if you have any questions I'll just be over it
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,feel free to browse if you have any questions I'll just be over it
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,feel free to browse if you have any questions I'm here please feel free to ask
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,feel free to browse if you have any questions I'm here please feel free to ask
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,if you have any more questions please let me know
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,if you have any more questions please let me know
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,if you have any other questions just please call me
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,if you have any other questions just please call me
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,if you have any other questions please feel free to ask
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,if you have any other questions please feel free to ask
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,if you have any other questions please let me know
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,if you have any other questions please let me know
S_LET_ME_KNOW_IF_YOU_NEED_HELP,,,if you have any other questions please let me know
