ACTION,TOPIC,UTTERANCE
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,Excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me can I ask you a question
C_GREETS,,excuse me can you help me
C_GREETS,,Excuse me can you help me
C_GREETS,,excuse me can you help me sir
C_GREETS,,excuse me can you help me with this
C_GREETS,,excuse me crossword question
C_GREETS,,excuse me do you know how good the present modes is
C_GREETS,,excuse me do you know if this camera is very good on megapixels
C_GREETS,,excuse me how does this canon and how much does how much does this canon cost
C_GREETS,,excuse me how large is the sensor on this camera
C_GREETS,,excuse me is this ok if I pick this camera up 
C_GREETS,,Excuse me is this the DSi that you mention earlier
C_GREETS,,Excuse Me Miss
C_GREETS,,excuse me sir can you help me
C_GREETS,,excuse me what it is since your size
C_GREETS,,excuse me you have two other cameras which is cheapest
C_GREETS,,good morning
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello
C_GREETS,,hello cheaper than I was expecting
C_GREETS,,hello Galaxy Note
C_GREETS,,hello good afternoon
C_GREETS,,hello good afternoon
C_GREETS,,hello good morning
C_GREETS,,hello good morning
C_GREETS,,hello good morning
C_GREETS,,hello good morning
C_GREETS,,hello good morning
C_GREETS,,hello good morning
C_GREETS,,hello how you doing
C_GREETS,,hello may I ask you something about camera
C_GREETS,,hi
C_GREETS,,hi
C_GREETS,,hi
C_GREETS,,hi
C_GREETS,,hi
C_GREETS,,hi
C_GREETS,,hi can I ask something
C_GREETS,,hi can I get some help you
C_GREETS,,hi can you help me
C_GREETS,,Hi can you help me
C_GREETS,,Hi can you help me
C_GREETS,,hi can you help me place
C_GREETS,,hi can you help me please
C_GREETS,,Hi do you have a moment
C_GREETS,,Hi do you have any DSLR
C_GREETS,,Hi do you have anything by nikon that's good
C_GREETS,,hi excuse me
C_GREETS,,hi good afternoon
C_GREETS,,hi there
C_GREETS,,I can you help
C_GREETS,,I'm sorry
C_GREETS,,I'm sorry excuse me
C_GREETS,,I'm sorry I am which mode
C_GREETS,,kiss me
C_GREETS,,kiss me
C_GREETS,,kiss me
C_GREETS,,kiss me
C_GREETS,,kiss me
C_GREETS,,kiss me
C_GREETS,,kiss me
C_GREETS,,kiss me
C_GREETS,,kiss me
C_GREETS,,kiss me
C_GREETS,,kiss me can I ask you something
C_GREETS,,oh excuse me
C_GREETS,,oh I'm sorry I forgot I forgot I forgot to ask you what's optical zoom
C_GREETS,,scares me
C_GREETS,,she's me
C_GREETS,,Sorry another question
C_GREETS,,sorry excuse him 
C_GREETS,,sorry excuse me
C_GREETS,,sorry excuse me I have a question about this camera
C_GREETS,,sorry for ask you another question about this camera
C_GREETS,,sorry I ask you something
C_GREETS,,sorry I have another question
C_GREETS,,sorry I may ask something about this camera
C_GREETS,,sorry what
C_GREETS,,they almost one kilo I'm sorry I dropped it
C_GREETS,,um excuse me
C_GREETS,,use me
C_GREETS,,use me
C_GREETS,,use me
C_GREETS,,use me
C_GREETS,,use me
C_JUST_BROWSING,,actually that's alright for now I just wanted to take a look at that I'll keep that in mind
C_JUST_BROWSING,,alright I'll just have a look around if you don't want to have in it
C_JUST_BROWSING,,I just came to take a look but I am up early get one letter
C_JUST_BROWSING,,I will just have a look at this
C_JUST_BROWSING,,I will just look around
C_JUST_BROWSING,,I'm doing ok just browsing around
C_JUST_BROWSING,,I'm fine thank you I'm just looking at it and it looks amazing does it have an automatic model
C_JUST_BROWSING,,I'm fine thanks
C_JUST_BROWSING,,I'm just browsing a moment thanks
C_JUST_BROWSING,,I'm just browsing at the moment around
C_JUST_BROWSING,,I'm just browsing at the moment around
C_JUST_BROWSING,,I'm just browsing thank you
C_JUST_BROWSING,,I'm just browsing thanks
C_JUST_BROWSING,,I'm just I'm just browsing thanks
C_JUST_BROWSING,,I'm just looking around
C_JUST_BROWSING,,I'm just looking around
C_JUST_BROWSING,,I'm just looking around
C_JUST_BROWSING,,I'm just looking around at the moment thanks
C_JUST_BROWSING,,I'm just looking around for nothing
C_JUST_BROWSING,,I'm just looking at the moment thank you
C_JUST_BROWSING,,I'm just looking thank you very much
C_JUST_BROWSING,,I'm ok the moment thank you
C_JUST_BROWSING,,I'm really just looking at the moment thanks
C_JUST_BROWSING,,it's ok i am just looking around
C_JUST_BROWSING,,just browsing
C_JUST_BROWSING,,just looking thank you
C_JUST_BROWSING,,just looking thank you
C_JUST_BROWSING,,just looking to buy a camera
C_JUST_BROWSING,,lookin fine thank you I'm looking for a camera I am just looking for something simple
C_JUST_BROWSING,,oh thank you very much I was just looking around
C_JUST_BROWSING,,oh you're not with me at the moment but it's fine I'll just just came to take a look
C_JUST_BROWSING,,okay thanks I'll have a look around the world back to you
C_JUST_BROWSING,,okay thanks I'll have a play with the pair of them and I'll get back to you
C_JUST_BROWSING,,Om Nom okay thanks I just have a look around by myself
C_JUST_BROWSING,,thank you think I will just have to look in here
C_JUST_BROWSING,,thanks i will look around
C_LEAVES,,
C_LOOKING_FOR_A_CAMERA,,afternoon I'm looking for a new camera is it to use stylus and affordable
C_LOOKING_FOR_A_CAMERA,,anyone would do I'm just trying to get a camera real fast
C_LOOKING_FOR_A_CAMERA,,could I have a look at this camera
C_LOOKING_FOR_A_CAMERA,,could you recommend me a good camera
C_LOOKING_FOR_A_CAMERA,,excuse me I'm looking for a professional camera
C_LOOKING_FOR_A_CAMERA,,good afternoon I just graduated from high school am looking to buy a new camera
C_LOOKING_FOR_A_CAMERA,,good afternoon I'm looking to buy a new camera just that I'm not a professional photographer so can you please show me the ones you have
C_LOOKING_FOR_A_CAMERA,,hello I just want to take a look at your camera
C_LOOKING_FOR_A_CAMERA,,hello I'm looking for a camera with very high is so can you recommend one for me
C_LOOKING_FOR_A_CAMERA,,hey I'm looking for a compact camera
C_LOOKING_FOR_A_CAMERA,,hi afternoon I'm here in Japan for vacations and I would like to buy a new camera can you help me with this
C_LOOKING_FOR_A_CAMERA,,hi Crafternoon I'm looking for a camera with very specific settings
C_LOOKING_FOR_A_CAMERA,,hi good afternoon I'm looking for a camera for my next trip to Singapore can you help me with that
C_LOOKING_FOR_A_CAMERA,,hi good afternoon I'm looking for a camera for my son just graduated from school and I would like to buy him a new camera
C_LOOKING_FOR_A_CAMERA,,hi good afternoon I'm looking for a camera that has a high I just saw with low noise and this is very important for me
C_LOOKING_FOR_A_CAMERA,,hi good afternoon I'm looking for a camera with very specific about the pictures
C_LOOKING_FOR_A_CAMERA,,hi good afternoon I'm looking to buy a new camera
C_LOOKING_FOR_A_CAMERA,,hi good afternoon I'm looking to buy a new camera and I just needed to be a portable and easy to use 
C_LOOKING_FOR_A_CAMERA,,hi good afternoon I'm looking to buy a new camera that if it continues portable
C_LOOKING_FOR_A_CAMERA,,hi good afternoon I'm starting college next semester and I'll be taking at school need a camera that has professional pictures
C_LOOKING_FOR_A_CAMERA,,hi i am looking for a camera
C_LOOKING_FOR_A_CAMERA,,hi in them looking for a quick replacement can you show me what options you have
C_LOOKING_FOR_A_CAMERA,,hiker afternoon looking to buy a new camera
C_LOOKING_FOR_A_CAMERA,,ho hey just looking for a camera something more high end
C_LOOKING_FOR_A_CAMERA,,hydro afternoon I'm looking to buy a camera I just said I'm not really familiar with
C_LOOKING_FOR_A_CAMERA,,I am interested in photography and I'm looking for good camera is there any in the shop which you can recommend
C_LOOKING_FOR_A_CAMERA,,I am just looking for a mid-range camera
C_LOOKING_FOR_A_CAMERA,,I am looking for a camera that is reasonably priced but it's delicious the same time
C_LOOKING_FOR_A_CAMERA,,I am looking for a camera with them filters on it
C_LOOKING_FOR_A_CAMERA,,I am looking for camera
C_LOOKING_FOR_A_CAMERA,,I am looking to buy a body camera end SLR my gracious break so I was wondering if you had anything like that
C_LOOKING_FOR_A_CAMERA,,I am looking to take take pictures with a camera
C_LOOKING_FOR_A_CAMERA,,I came to look for a new camera
C_LOOKING_FOR_A_CAMERA,,I guess I'm just looking for a new camera
C_LOOKING_FOR_A_CAMERA,,I have a smartphone but I'm not smart enough to use it
C_LOOKING_FOR_A_CAMERA,,I just want to take a quick look at your cameras
C_LOOKING_FOR_A_CAMERA,,I know now myself but this is really what I'm looking for actually
C_LOOKING_FOR_A_CAMERA,,I need a camera but not a professional camera but something I can use in my business that will give me some good pictures
C_LOOKING_FOR_A_CAMERA,,I want a All Around camera I try to use my smartphone but the pictures don't come out so good
C_LOOKING_FOR_A_CAMERA,,I want to buy I want to buy a camera but I'm not sure which I need
C_LOOKING_FOR_A_CAMERA,,I want to get a new camera
C_LOOKING_FOR_A_CAMERA,,I want to look at the new cameras that you have
C_LOOKING_FOR_A_CAMERA,,I want to look at your camera
C_LOOKING_FOR_A_CAMERA,,I want to see your new camera the professional one
C_LOOKING_FOR_A_CAMERA,,I want to take a look at the cameras here
C_LOOKING_FOR_A_CAMERA,,I want to take a look at your cameras
C_LOOKING_FOR_A_CAMERA,,I'll get off today and I'm just looking around at the moment I'm not really sure what I'm after
C_LOOKING_FOR_A_CAMERA,,I'm actually looking for a camera
C_LOOKING_FOR_A_CAMERA,,I'm here to see the cameras I want a new one
C_LOOKING_FOR_A_CAMERA,,I'm interested in buying a camera but I'm not sure what I need
C_LOOKING_FOR_A_CAMERA,,I'm just browsing around just searching for a camera
C_LOOKING_FOR_A_CAMERA,,I'm just browsing but just trying to find a camera but I don't know what camera is really good
C_LOOKING_FOR_A_CAMERA,,I'm just here looking at the new cameras at your home
C_LOOKING_FOR_A_CAMERA,,I'm just looking around I'm thinking about buying a camera but I don't know which one
C_LOOKING_FOR_A_CAMERA,,I'm just looking for a basic camera to take selfies with
C_LOOKING_FOR_A_CAMERA,,I'm just looking for a camera
C_LOOKING_FOR_A_CAMERA,,I'm just looking for a camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera for my business
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera for outdoor shooting this this is how is it good for outdoor shooting
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera for taking pictures in concerts
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera for traveling so this seems to be good because of Light how much does it weigh
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera to replace my old one
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera to the family
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera with very high iso and a good consensus you have a camera like that
C_LOOKING_FOR_A_CAMERA,,I'm looking for a camera with very specific pictures
C_LOOKING_FOR_A_CAMERA,,I'm looking for a cheap camera I dropped my old phone in the toilet
C_LOOKING_FOR_A_CAMERA,,I'm looking for a DSLR type camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a good camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a good camera like nothing like a little time I think I want stay with real pictures so can you show me what are your options here
C_LOOKING_FOR_A_CAMERA,,I'm looking for a good camera so I can take my photographs to adjust in photography
C_LOOKING_FOR_A_CAMERA,,I'm looking for a good camera which I can use to take photographs
C_LOOKING_FOR_A_CAMERA,,I'm looking for a lightweight camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a mid mid range priced camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a new camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a new camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a new camera actually like a better than my phone
C_LOOKING_FOR_A_CAMERA,,I'm looking for a new camera today
C_LOOKING_FOR_A_CAMERA,,I'm looking for a nice camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a point and shoot camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for a professional camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for an advanced mode camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for camera so I can take good shots on when I go travelling I miss you very interested in photography so do you recommend this camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for camera to take family pictures
C_LOOKING_FOR_A_CAMERA,,I'm looking for daily use camera
C_LOOKING_FOR_A_CAMERA,,I'm looking for simple camera
C_LOOKING_FOR_A_CAMERA,,I'm looking to buy a new camera
C_LOOKING_FOR_A_CAMERA,,I'm looking to buy a new camera
C_LOOKING_FOR_A_CAMERA,,I'm looking to buy a new camera how loose affordable
C_LOOKING_FOR_A_CAMERA,,I'm looking to get a camera for my for my dad
C_LOOKING_FOR_A_CAMERA,,I'm looking to upgrade my old camera for one with a higher ISO
C_LOOKING_FOR_A_CAMERA,,I'm not alone but I'm looking for something in a fairly decent
C_LOOKING_FOR_A_CAMERA,,it's actually my first time buying a camera so I'm not very sure which is a good one
C_LOOKING_FOR_A_CAMERA,,mmm I'm just browsing the camera for myself just something a little better than my camera
C_LOOKING_FOR_A_CAMERA,,nothing fancy I just I'm just looking for the second camera I don't have money
C_LOOKING_FOR_A_CAMERA,,oh hi I'm just looking for a camera
C_LOOKING_FOR_A_CAMERA,,oh hi I'm looking for a new camera I just broke mine
C_LOOKING_FOR_A_CAMERA,,oh honey I'm just looking to buy a camera for my high school graduation
C_LOOKING_FOR_A_CAMERA,,on looking for a camera for my best friend but I'm looking for something cheap
C_LOOKING_FOR_A_CAMERA,,online business so I'm just trying to get it started
C_LOOKING_FOR_A_CAMERA,,take a look at your cameras
C_LOOKING_FOR_A_CAMERA,,the room I'm looking for a new camera that has a professional photographer
C_LOOKING_FOR_A_CAMERA,,well I am looking for a camera but I'm not sure what to buy
C_LOOKING_FOR_A_CAMERA,,well I'm looking for camera
C_LOOKING_FOR_A_CAMERA,,well I'm not sure I quite know what I want to
C_LOOKING_FOR_A_CAMERA,,will I like to buy a camera but I'm not sure which one
C_LOOKING_FOR_A_CAMERA,,yeah actually I did but I am looking for a better one
C_LOOKING_FOR_A_CAMERA,,yeah I'm looking for a camera something a little bit trendy
C_LOOKING_FOR_A_CAMERA,,yes I'm looking for a camera
C_LOOKING_FOR_A_CAMERA,,yes I'm looking for a camera for daily use
C_LOOKING_FOR_A_CAMERA,,yes I'm looking for a camera for my photoshop my other camera broke and I need another one
C_LOOKING_FOR_A_CAMERA,,Yes simple point and shoot but I'm looking for something nicer
C_LOOKING_FOR_A_CAMERA,,yo I'm looking for a camera maybe more for use at night
C_LOOKING_FOR_A_CAMERA,,you know I want a good camera can you suggest me
C_NOT_SURE,,I'm not quite too sure
C_NOT_SURE,,I'm not really sure
C_NOT_SURE,,I'm not really sure
C_NOT_SURE,,I'm not really sure
C_NOT_SURE,,I'm not sure yet I'm not sure
C_NOT_SURE,,I'm not too sure yet
C_NOT_SURE,,I'm not too sure yet I will give you a call then or if you just
C_NOT_SURE,,no I'm not very familiar with it
C_NOT_SURE,,okay I'm not really sure what that means
C_NOT_SURE,,okay I'm sorry if I'm asking too many questions is just that I'm not very familiar with this
C_QUESTION_ABOUT_FEATURE,artistic_effects_what,what are artistic effects
C_QUESTION_ABOUT_FEATURE,artistic_effects_what,
C_QUESTION_ABOUT_FEATURE,artistic_effects_what,
C_QUESTION_ABOUT_FEATURE,artistic_effects_what,
C_QUESTION_ABOUT_FEATURE,artistic_effects_what,
C_QUESTION_ABOUT_FEATURE,autofocus_points,and for this model how many auto focus points does it have
C_QUESTION_ABOUT_FEATURE,autofocus_points,and how many autofocus points does it have
C_QUESTION_ABOUT_FEATURE,autofocus_points,and how many autofocus points does it have
C_QUESTION_ABOUT_FEATURE,autofocus_points,and it has auto focus points
C_QUESTION_ABOUT_FEATURE,autofocus_points,And the auto Focus points how many points does it have
C_QUESTION_ABOUT_FEATURE,autofocus_points,and the autofocus points
C_QUESTION_ABOUT_FEATURE,autofocus_points,and what about the auto focus points
C_QUESTION_ABOUT_FEATURE,autofocus_points,can I know how many auto focus points does this camera have
C_QUESTION_ABOUT_FEATURE,autofocus_points,does it have autofocus
C_QUESTION_ABOUT_FEATURE,autofocus_points,does it have autofocus points
C_QUESTION_ABOUT_FEATURE,autofocus_points,Hacienda how many autofocus points does it have
C_QUESTION_ABOUT_FEATURE,autofocus_points,How about auto focus points for this
C_QUESTION_ABOUT_FEATURE,autofocus_points,how about how many auto focus points does this have
C_QUESTION_ABOUT_FEATURE,autofocus_points,how about the number of autofocus points it has
C_QUESTION_ABOUT_FEATURE,autofocus_points,how about this camera how many auto focus points does this have
C_QUESTION_ABOUT_FEATURE,autofocus_points,how many auto focus points does it have
C_QUESTION_ABOUT_FEATURE,autofocus_points,how many auto focus points does this camera have
C_QUESTION_ABOUT_FEATURE,autofocus_points,how many auto focus points does this have
C_QUESTION_ABOUT_FEATURE,autofocus_points,how many auto focus points does this one have
C_QUESTION_ABOUT_FEATURE,autofocus_points,how many auto focus points does this one have again
C_QUESTION_ABOUT_FEATURE,autofocus_points,how many auto focus points I have
C_QUESTION_ABOUT_FEATURE,autofocus_points,how many autofocus points does it have
C_QUESTION_ABOUT_FEATURE,autofocus_points,how many autofocus points does it have
C_QUESTION_ABOUT_FEATURE,autofocus_points,how many autofocus points does it have
C_QUESTION_ABOUT_FEATURE,autofocus_points,how many autofocus points does it have 
C_QUESTION_ABOUT_FEATURE,autofocus_points,how many autofocus points does it out
C_QUESTION_ABOUT_FEATURE,autofocus_points,How many autofocus points does this Canon camera have
C_QUESTION_ABOUT_FEATURE,autofocus_points,how many ordered Focus points to the previous camera have
C_QUESTION_ABOUT_FEATURE,autofocus_points,how many oz are Focus points
C_QUESTION_ABOUT_FEATURE,autofocus_points,how to focus points of this camera have
C_QUESTION_ABOUT_FEATURE,autofocus_points,how's the auto focus points on this
C_QUESTION_ABOUT_FEATURE,autofocus_points,I see and what about the out of focus points
C_QUESTION_ABOUT_FEATURE,autofocus_points,I think you and the auto Focus points on this
C_QUESTION_ABOUT_FEATURE,autofocus_points,I was trying to find out the auto focus points
C_QUESTION_ABOUT_FEATURE,autofocus_points,is it equipped with autofocus
C_QUESTION_ABOUT_FEATURE,autofocus_points,Lucinda how does the auto focus points can pass the ball to
C_QUESTION_ABOUT_FEATURE,autofocus_points,oh I see and what about the autofocus points and the ISO
C_QUESTION_ABOUT_FEATURE,autofocus_points,ok what about the auto focus points
C_QUESTION_ABOUT_FEATURE,autofocus_points,okay the auto focus points on this how many does it have
C_QUESTION_ABOUT_FEATURE,autofocus_points,okay uh how many autofocus points are there
C_QUESTION_ABOUT_FEATURE,autofocus_points,Smith Ellis camera how many holes are Focus points does it have
C_QUESTION_ABOUT_FEATURE,autofocus_points,so how many others of the focus points does it have
C_QUESTION_ABOUT_FEATURE,autofocus_points,that sounds good what about it's also Focus points
C_QUESTION_ABOUT_FEATURE,autofocus_points,This one more expensive and it's heavier and it's got less autofocus points
C_QUESTION_ABOUT_FEATURE,autofocus_points,what about the auto focus points
C_QUESTION_ABOUT_FEATURE,autofocus_points,what about the other two focus points of this camera
C_QUESTION_ABOUT_FEATURE,autofocus_points,what about the the focus point
C_QUESTION_ABOUT_FEATURE,autofocus_points,what about this cameras number of auto focus points
C_QUESTION_ABOUT_FEATURE,autofocus_points,what do I use the autofocus points for
C_QUESTION_ABOUT_FEATURE,autofocus_points,what is the auto focus points for this camera
C_QUESTION_ABOUT_FEATURE,autofocus_points,yeah good afternoon I am a Sports photographers so I need a good camera with many autofocus point and also has a high shutter speed so you have any recommendations for me
C_QUESTION_ABOUT_FEATURE,autofocus_points,yeah I'm wondering how many auto focus points does this camera have
C_QUESTION_ABOUT_FEATURE,autofocus_points,yes I wanted to know how many points does it have
C_QUESTION_ABOUT_FEATURE,bulb_mode_what,what is bulb mode
C_QUESTION_ABOUT_FEATURE,bulb_mode_what,
C_QUESTION_ABOUT_FEATURE,bulb_mode_what,
