NEW_ID,CLUSTER_ID,TIMESTAMP,TRIAL,SPATIAL_STATE,STATE_TARGET,CUSTOMER_FROM_MOTION,CUSTOMER_TO_MOTION,CUSTOMER_LOCATION,SHOPKEEPER_FROM_MOTION,SHOPKEEPER_TO_MOTION,SHOPKEEPER_LOCATION,CUSTOMER_SPEAKING,CUSTOMER_SPEECH,CUSTOMER_KEYWORDS,SHOPKEEPER_SPEAKING,SHOPKEEPER_SPEECH,SHOPKEEPER_KEYWORDS,CUSTOMER_ACTION,SHOPKEEPER_ACTION
-,0;PRESENT_X;CANON,1.435218672E9,133,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,how does this camera perform on low lighting,low lighting,SILENCE,NONE,NO_KEYWORD,CS,,
-,142;PRESENT_X;CANON,1.435218677E9,133,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,this is one of the best cameras we have for low light because of 6400 ISO that's very little noise in the picture and it comes through in a very stable way,best cameras;stable way;low light;noise;ISO;picture,,SS,

-,0;PRESENT_X;CANON,1.435218693E9,133,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,what about the exposure what can it handle,exposure,SILENCE,NONE,NO_KEYWORD,CS,,
-,2;PRESENT_X;CANON,1.435218696E9,133,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,anything,NO_KEYWORD,,SS,

-,0;PRESENT_X;CANON,1.435218701E9,133,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,how much Freedom do you have with this like what what can I set according to my liking,liking;Freedom,SILENCE,NONE,NO_KEYWORD,CS,,
-,91;PRESENT_X;CANON,1.435218708E9,133,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,this is a top-end manual camera so really it's limited by your imagination as long as you are able to move your exposure around change your shutter speed or move to evolve sitting you have full control in all circumstances this cover off of that,top-end manual camera;shutter speed;imagination;circumstances;exposure;change;control;cover,,SS,

-,0;PRESENT_X;CANON,1.435218729E9,133,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,that sounds great what about the price,price,SILENCE,NONE,NO_KEYWORD,CS,,
-,324;PRESENT_X;CANON,1.435218734E9,133,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,it is a high end professional camera and you already was selling body only so we would talk about the lens separately the body itself is $2,professional camera;high end;lens;body,,SS,

-,0;PRESENT_X;CANON,1.435218748E9,133,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,I see do you have anything in this type that's a little more reasonably priced,type,SILENCE,NONE,NO_KEYWORD,CS,,
BAD,257;PRESENT_X;CANON,1.435218759E9,133,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,yes of course I want to come and have a look at the Sony this is sold as a complete camera it's raw the cheaper in some ways the performances different because you. Goes so aggressively and low-light but at the same time it has a lot of creative control,complete camera;creative control;Sony;course;look;ways;performances;time,,SS,
-,0;PRESENT_X;SONY,1.435218762E9,133,PRESENT_X,SONY,NONE,NONE,CANON,CANON,SONY,SONY,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,SM,
-,0;PRESENT_X;SONY,1.435218767E9,133,PRESENT_X,SONY,CANON,SONY,SONY,CANON,SONY,SONY,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,SM,
-,0;PRESENT_X;SONY,1.43521877E9,133,PRESENT_X,SONY,CANON,SONY,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,,
-,0;PRESENT_X;SONY,1.435218771E9,133,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,,

-,0;PRESENT_X;SONY,1.435218781E9,133,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SPEAKING,I see do you have anything in this type that's a little more reasonably priced,type,SILENCE,NONE,NO_KEYWORD,CS,,
-,12;PRESENT_X;SONY,1.435218783E9,133,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,SPEAKING,$550 to the amount of creative control excellent value of the month price point,control excellent value;price point,,SS,

-,0;PRESENT_X;SONY,1.435218793E9,133,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SPEAKING,thank you for your help,help,SILENCE,NONE,NO_KEYWORD,CS,,
-,27;PRESENT_X;SONY,1.435218795E9,133,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,SPEAKING,thank you have a good afternoon,good afternoon,,SS,
-,0;NONE;SONY,1.435218799E9,133,NONE,SONY,NONE,NONE,SONY,SONY,MIDDLE,MIDDLE,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,SM,


-,0;WAITING;NONE,1.435218832E9,134,WAITING,NONE,DOOR,SONY,SONY,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,,
-,0;WAITING;NONE,1.435218835E9,134,WAITING,NONE,NONE,NONE,SONY,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,,

-,0;WAITING;NONE,1.43521884E9,134,WAITING,NONE,SONY,NIKON,NIKON,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,,
-,0;WAITING;NONE,1.435218845E9,134,WAITING,NONE,NONE,NONE,NIKON,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,,

-,0;WAITING;NONE,1.435218853E9,134,WAITING,NONE,NIKON,CANON,CANON,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,,
-,0;PRESENT_X;CANON,1.435218854E9,134,PRESENT_X,CANON,NIKON,CANON,CANON,SERVICE_COUNTER,CANON,CANON,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,SM,
-,0;PRESENT_X;CANON,1.435218855E9,134,PRESENT_X,CANON,NONE,NONE,CANON,SERVICE_COUNTER,CANON,CANON,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,SM,
-,150;PRESENT_X;CANON,1.435218861E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,good afternoon I can see your penis my ring out cameras,good afternoon;penis;cameras;ring,,SS,

-,0;PRESENT_X;CANON,1.435218869E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,good afternoon can you tell me more about this model,good afternoon;model,SILENCE,NONE,NO_KEYWORD,CS,,
-,169;PRESENT_X;CANON,1.435218873E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,this is a high-end professional model you can see with selling a body only with talk about the lens separately because the people who buy this I looking for full creative control you can do anything you want photographically with this camera but it does come at a price,high-end professional model;creative control;lens;camera;body;talk;people;price,,SS,

-,0;PRESENT_X;CANON,1.435218893E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,how much does it weight,weight,SILENCE,NONE,NO_KEYWORD,CS,,
-,92;PRESENT_X;CANON,1.435218898E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,the body alone is about 1 kilograms and then the lens can be anything from half a kilogram up to sky's the limit you know nothing makes and lenses maybe 100 kilograms and some of them have this camera mount,kilograms;camera mount;kilogram;lens;limit;body;sky,,SS,

-,0;PRESENT_X;CANON,1.435218919E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,I see does it perform well with a lot of motion,motion,SILENCE,NONE,NO_KEYWORD,CS,,
-,41;PRESENT_X;CANON,1.435218929E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,that's one of its strong points when we moved from film into digital there a lot of problems with trying to catch motion in the natural way in a lot of different things you see sometimes in digital photos have because of that this camera is one of the first to show good natural motion,strong points;different things;natural way;digital photos;motion;camera;film;problems,,SS,

-,0;PRESENT_X;CANON,1.435218956E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,crepes with autofocus,crepes;autofocus,SILENCE,NONE,NO_KEYWORD,CS,,
-,66;PRESENT_X;CANON,1.43521896E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,what sort of auto focus do you like it has a number of different ways of handing out of focus and processing information and it works all 61 different points on the sensor for each of those different modes,different modes;auto focus;different ways;different points;sort;sensor;number;information,,SS,

-,0;PRESENT_X;CANON,1.435218978E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,great sounds like a great camera,great camera;great sounds,SILENCE,NONE,NO_KEYWORD,CS,,
-,235;PRESENT_X;CANON,1.435218982E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,it is a fantastic camera can I ask what soda photography you do,fantastic camera;soda photography,,SS,

-,0;PRESENT_X;CANON,1.43521899E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,pretty much anything I like diversity I like taking pictures of different stuff so it sounds like a well-rounded camera that might suit my needs,well-rounded camera;different stuff;diversity;pictures;needs,SILENCE,NONE,NO_KEYWORD,CS,,
-,111;PRESENT_X;CANON,1.435219002E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,yes it does actually sound that we have a lot of other cameras to perform at much lower price and still get a good picture but that I know when it says was it all with this total creative freedom would you like to talk about lenses the kind of lenses we carry that would go with this camera,total creative freedom;lower price;good picture;lenses;cameras;kind;camera,,SS,

-,0;PRESENT_X;CANON,1.435219025E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,I think I'll think a little bit more about this model first thank you for your help,little bit;model;help,SILENCE,NONE,NO_KEYWORD,CS,,
-,184;PRESENT_X;CANON,1.435219029E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,before you go I have some information here to give you a few more details about the camera and some things we can read about that also there are some things from some of the competitors but you can maybe do some comparisons,competitors;comparisons;camera;things;information;details,,SS,

-,0;PRESENT_X;CANON,1.435219044E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,helpful thank you,helpful thank,SILENCE,NONE,NO_KEYWORD,CS,,
-,27;PRESENT_X;CANON,1.435219046E9,134,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,thank you please have a good afternoon,good afternoon,,SS,



-,0;WAITING;NONE,1.435219166E9,135,WAITING,NONE,DOOR,CANON,CANON,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,,
-,0;WAITING;NONE,1.435219168E9,135,WAITING,NONE,NONE,NONE,CANON,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,,

-,0;WAITING;NONE,1.435219174E9,135,WAITING,NONE,CANON,NIKON,NIKON,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,,
-,0;WAITING;NONE,1.435219177E9,135,WAITING,NONE,NONE,NONE,NIKON,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,,

-,0;PRESENT_X;NIKON,1.435219179E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,SERVICE_COUNTER,NIKON,NIKON,SPEAKING,excuse me,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CS,SM,
-,1;PRESENT_X;NIKON,1.43521918E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,SERVICE_COUNTER,NIKON,NIKON,SILENCE,NONE,NO_KEYWORD,SPEAKING,it's good afternoon how can I help,good afternoon,,SSSM,
-,0;PRESENT_X;NIKON,1.435219181E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,SERVICE_COUNTER,NIKON,NIKON,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,SM,

-,0;PRESENT_X;NIKON,1.435219185E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SPEAKING,how many colors this model came in,colors;model,SILENCE,NONE,NO_KEYWORD,CS,,
-,15;PRESENT_X;NIKON,1.435219191E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SPEAKING,this comes in 5 colors we have purple pink black silver and red color in stock now,pink black silver;red color;colors;stock,,SS,

-,0;PRESENT_X;NIKON,1.435219202E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SPEAKING,I see how much does it cost,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CS,,
-,17;PRESENT_X;NIKON,1.435219205E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SPEAKING,it's only $68,NO_KEYWORD,,SS,

-,0;PRESENT_X;NIKON,1.435219215E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SPEAKING,powerful is it how many megapixels can it shoot,megapixels,SILENCE,NONE,NO_KEYWORD,CS,,
-,323;PRESENT_X;NIKON,1.435219218E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SPEAKING,20 megapixels so if you want to make large end large pictures feel wall for example you'll get a nice place for help,end large pictures;nice place;example;megapixels;wall;help,,SS,

-,0;PRESENT_X;NIKON,1.435219232E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SPEAKING,does it have any preset mode ready to use,preset mode,SILENCE,NONE,NO_KEYWORD,CS,,
BAD,3;PRESENT_X;NIKON,1.435219236E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SPEAKING,this camera is built around preset mode it has a number of options for you can say what sort of location you're in and it will give you the best result that location to let you retouch and ship colors with some free sit there that look fantastic and very,NO_KEYWORD,,SS,

-,0;PRESENT_X;NIKON,1.435219261E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SPEAKING,is it hard to operate,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CS,,
-,320;PRESENT_X;NIKON,1.435219266E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SPEAKING,it's a point-and-shoot camera so you have a small zoom control and a switch between still and video but after that it's very simple exposure and focus are automatic,small zoom control;point-and-shoot camera;switch;exposure;focus,,SS,

-,107;PRESENT_X;NIKON,1.435219294E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SPEAKING,can I ask Allah to the photographs to take,Allah;photographs,,SS,

-,0;PRESENT_X;NIKON,1.435219301E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SPEAKING,I need a camera that's easy to use but look at look attractive and reasonably priced,camera;look,SILENCE,NONE,NO_KEYWORD,CS,,
-,117;PRESENT_X;NIKON,1.435219311E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SPEAKING,this is probably the best camera shop the fates everything you need we have some other excellent cameras the price goes up a lot on your choices for color and style get much smaller,best camera shop;excellent cameras;fates;choices;price;color;style,,SS,

-,0;PRESENT_X;NIKON,1.435219327E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SPEAKING,thank you for your information,information,SILENCE,NONE,NO_KEYWORD,CS,,
-,9;PRESENT_X;NIKON,1.43521933E9,135,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SPEAKING,thank you for your time have a good afternoon,good afternoon;time,,SS,

-,0;NONE;DOOR,1.435219334E9,135,NONE,DOOR,NIKON,DOOR,DOOR,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,,


-,0;WAITING;NONE,1.435219368E9,136,WAITING,NONE,DOOR,SONY,SONY,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,,
