INDEX,TIMESTAMP,TRIAL,SHOPKEEPER,SPATIAL_STATE,STATE_TARGET,CUSTOMER_TYPE,CUSTOMER_FROM_MOTION,CUSTOMER_TO_MOTION,CUSTOMER_LOCATION,SHOPKEEPER_FROM_MOTION,SHOPKEEPER_TO_MOTION,SHOPKEEPER_LOCATION,CUSTOMER_SPEECH,CUSTOMER_KEYWORDS,OUTPUT_SPATIAL_STATE,OUTPUT_STATE_TARGET,OUTPUT_CUSTOMER_FROM_MOTION,OUTPUT_CUSTOMER_TO_MOTION,OUTPUT_CUSTOMER_LOCATION,OUTPUT_SHOPKEEPER_FROM_MOTION,OUTPUT_SHOPKEEPER_TO_MOTION,OUTPUT_SHOPKEEPER_LOCATION,SHOPKEEPER_SPEECH,SHOPKEEPER_KEYWORDS,CLUSTER_ID_SHOPKEEPER,IS_BAD_CLUSTER_SHOPKEEPER,CLUSTER_ID_CUSTOMER,IS_BAD_CLUSTER_CUSTOMER
36,1435219185,135,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,how many colors this model came in,colors;model,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,this comes in 5 colors we have purple pink black silver and red color in stock now,pink black silver;red color;colors;stock,15;PRESENT_X;NIKON,0,15;PRESENT_X;NIKON,0
37,1435219202,135,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,I see how much does it cost,NO_KEYWORD,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,it's only $68,NO_KEYWORD,17;PRESENT_X;NIKON,0,17;PRESENT_X;NIKON,0
38,1435219215,135,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,powerful is it how many megapixels can it shoot,megapixels,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,20 megapixels so if you want to make large end large pictures feel wall for example you'll get a nice place for help,end large pictures;nice place;example;megapixels;wall;help,323;PRESENT_X;NIKON,0,323;PRESENT_X;NIKON,0
39,1435219232,135,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,does it have any preset mode ready to use,preset mode,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,this camera is built around preset mode it has a number of options for you can say what sort of location you're in and it will give you the best result that location to let you retouch and ship colors with some free sit there that look fantastic and very,preset mode;free sit;best result;sort;location;camera;number;options;colors,3;PRESENT_X;NIKON,BAD,3;PRESENT_X;NIKON,BAD
40,1435219261,135,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,is it hard to operate,NO_KEYWORD,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,it's a point-and-shoot camera so you have a small zoom control and a switch between still and video but after that it's very simple exposure and focus are automatic,small zoom control;point-and-shoot camera;switch;exposure;focus,320;PRESENT_X;NIKON,0,320;PRESENT_X;NIKON,0
41,1435219294,135,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,NONE,NO_KEYWORD,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,can I ask Allah to the photographs to take,Allah;photographs,107;PRESENT_X;NIKON,0,107;PRESENT_X;NIKON,0
42,1435219301,135,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,I need a camera that's easy to use but look at look attractive and reasonably priced,camera;look,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,this is probably the best camera shop that features everything you need we have some other excellent cameras the price goes up a lot on your choices for color and style get much smaller,best camera shop;excellent cameras;choices;price;color;style,117;PRESENT_X;NIKON,0,117;PRESENT_X;NIKON,0
43,1435219327,135,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,thank you for your information,information,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,thank you for your time have a good afternoon,good afternoon;time,9;PRESENT_X;NIKON,0,9;PRESENT_X;NIKON,0
44,1435219368,136,PROACTIVE,WAITING,NONE,ADVANCED,DOOR,SONY,SONY,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,PRESENT_X,SONY,NONE,NONE,SONY,SERVICE_COUNTER,SONY,SONY,good afternoon how can I help,good afternoon,1;PRESENT_X;SONY,0,1;PRESENT_X;SONY,0
45,1435219389,136,PROACTIVE,PRESENT_X,SONY,ADVANCED,NONE,NONE,SONY,NONE,NONE,SONY,can you tell me more about this camera,camera,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,yes it does so many things this is one of us seem close to use high end cameras it does a fantastic job in low-light it does a great job with movement,high end cameras;fantastic job;great job;things;movement,66;PRESENT_X;SONY,0,66;PRESENT_X;SONY,0
46,1435219410,136,PROACTIVE,PRESENT_X,SONY,ADVANCED,NONE,NONE,SONY,NONE,NONE,SONY,sounds good how high does the iso go,NO_KEYWORD,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,the eye so it goes up to 3200 you can work in very low light conditions that will be very little noise you can actually produce a very clear picture in the evening,low light conditions;clear picture;evening;noise;eye,234;PRESENT_X;SONY,0,234;PRESENT_X;SONY,0
47,1435219431,136,PROACTIVE,PRESENT_X,SONY,ADVANCED,NONE,NONE,SONY,NONE,NONE,SONY,what is exposure,exposure,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,it will give you a long exposure up to 30 seconds,long exposure,76;PRESENT_X;SONY,0,76;PRESENT_X;SONY,0
48,1435219443,136,PROACTIVE,PRESENT_X,SONY,ADVANCED,NONE,NONE,SONY,NONE,NONE,SONY,does it have any preset mode,preset mode,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,it has 9 preset modes that let you take pictures according to the light at the location it's very easy to use,preset modes;pictures;light;location,88;PRESENT_X;SONY,0,88;PRESENT_X;SONY,0
49,1435219459,136,PROACTIVE,PRESENT_X,SONY,ADVANCED,NONE,NONE,SONY,NONE,NONE,SONY,why is camera sounds great how much does it cost,camera,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,it's only $550 the best value cameras at that price,best value cameras;price,226;PRESENT_X;SONY,0,226;PRESENT_X;SONY,0
50,1435219460,136,PROACTIVE,PRESENT_X,SONY,ADVANCED,NONE,NONE,SONY,NONE,NONE,SONY,NONE,NO_KEYWORD,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,NONE,NO_KEYWORD,0;PRESENT_X;SONY,0,0;PRESENT_X;SONY,0
51,1435219472,136,PROACTIVE,PRESENT_X,SONY,ADVANCED,NONE,NONE,SONY,NONE,NONE,SONY,I see that's a little steep how do you have anything in this range that's more affordable,range,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,can I ask what sort of pictures you take,sort;pictures,5;PRESENT_X;SONY,0,5;PRESENT_X;SONY,0
52,1435219485,136,PROACTIVE,PRESENT_X,SONY,ADVANCED,NONE,NONE,SONY,NONE,NONE,SONY,I want a camera that's that has good performance but is practical to use,good performance;camera,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,hm a little tricky for the good performance and the practicality this is already the perfect camera we can go to something cheaper but they will be some sacrificing creativity,perfect camera;good performance;practicality;creativity,331;PRESENT_X;SONY,BAD,331;PRESENT_X;SONY,BAD
53,1435219516,136,PROACTIVE,PRESENT_X,SONY,ADVANCED,NONE,NONE,SONY,NONE,NONE,SONY,NONE,NO_KEYWORD,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,I can show you the cheapest camera and we can talk about it,cheapest camera,237;PRESENT_X;SONY,0,237;PRESENT_X;SONY,0
54,1435219523,136,PROACTIVE,PRESENT_X,NIKON,ADVANCED,SONY,NIKON,NIKON,SONY,NIKON,NIKON,NONE,NO_KEYWORD,PRESENT_X,NIKON,SONY,NIKON,NIKON,SONY,NIKON,NIKON,that will give you some idea of how different cameras are placed in the market,different cameras;idea;market,301;PRESENT_X;NIKON,0,301;PRESENT_X;NIKON,0
55,1435219525,136,PROACTIVE,PRESENT_X,NIKON,ADVANCED,SONY,NIKON,NIKON,SONY,NIKON,NIKON,hm,hm,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,do you like to pick this camera up see how it feels,camera,288;PRESENT_X;NIKON,0,288;PRESENT_X;NIKON,0
56,1435219540,136,PROACTIVE,PRESENT_X,NIKON,ADVANCED,NONE,NONE,NIKON,NONE,NONE,NIKON,that is nice,NO_KEYWORD,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,one of the reasons it so light is it has a plastic lens the other camera has a glass lens so it's designed to be much lighter and easier to use for things like family portraits,family portraits;reasons;camera;plastic;glass;things,42;PRESENT_X;NIKON,0,42;PRESENT_X;NIKON,0
57,1435219555,136,PROACTIVE,PRESENT_X,NIKON,ADVANCED,NONE,NONE,NIKON,NONE,NONE,NIKON,wow and how much is this one,NO_KEYWORD,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,68 dollars,dollars,193;PRESENT_X;NIKON,0,193;PRESENT_X;NIKON,0
58,1435219565,136,PROACTIVE,PRESENT_X,NIKON,ADVANCED,NONE,NONE,NIKON,NONE,NONE,NIKON,oh I see okay thank you for your help,help,WAITING,NONE,NONE,NONE,NIKON,NIKON,SERVICE_COUNTER,SERVICE_COUNTER,always a pleasure look forward to seeing next time have a good afternoon,good afternoon;pleasure look;time,263;PRESENT_X;NIKON,0,263;PRESENT_X;NIKON,0
59,1435219574,136,PROACTIVE,WAITING,NONE,ADVANCED,NIKON,DOOR,DOOR,NIKON,SERVICE_COUNTER,SERVICE_COUNTER,NONE,NO_KEYWORD,WAITING,NONE,NIKON,DOOR,DOOR,NIKON,SERVICE_COUNTER,SERVICE_COUNTER,NONE,NO_KEYWORD,0;WAITING;NONE,0,0;WAITING;NONE,0
60,1435219612,138,PROACTIVE,WAITING,NONE,ADVANCED,DOOR,NIKON,NIKON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,WAITING,NONE,NONE,NONE,NIKON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,0;WAITING;NONE,0,0;WAITING;NONE,0
61,1435219622,138,PROACTIVE,WAITING,NONE,ADVANCED,NIKON,SONY,SONY,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,good afternoon how can I help you today,good afternoon,1;PRESENT_X;SONY,0,1;PRESENT_X;SONY,0
62,1435219642,138,PROACTIVE,PRESENT_X,SONY,ADVANCED,NONE,NONE,SONY,NONE,NONE,SONY,hi is this camera good for low light pictures,low light pictures;camera,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,this is a fantastic camera for low light pictures that has an ISO that goes up to 3200 and its mirrorless so often you can have a problem when the mirror shakes the camera,low light pictures;fantastic camera;mirror;ISO;problem,235;PRESENT_X;SONY,0,235;PRESENT_X;SONY,0
63,1435219663,138,PROACTIVE,PRESENT_X,SONY,ADVANCED,NONE,NONE,SONY,NONE,NONE,SONY,NONE,NO_KEYWORD,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,this is designed to stop that problem,problem,69;PRESENT_X;SONY,0,69;PRESENT_X;SONY,0
64,1435219671,138,PROACTIVE,PRESENT_X,SONY,ADVANCED,NONE,NONE,SONY,NONE,NONE,SONY,oh how about the sensor size,sensor size,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,this is an aps-c sensor so it's a little bit cramped compared to the way some people think of a 35 millimeter sensor but it's getting very technical for a digital camera it's quite big,millimeter sensor;aps-c sensor;little bit;digital camera;way;people,182;PRESENT_X;SONY,0,182;PRESENT_X;SONY,0
65,1435219695,138,PROACTIVE,PRESENT_X,SONY,ADVANCED,NONE,NONE,SONY,NONE,NONE,SONY,I see actually I'm looking for something a little bit more advanced than this one do you have anything like that,little bit,PRESENT_X,CANON,NONE,NONE,SONY,SONY,CANON,CANON,we have the top-end Canon 5d Mark 3 so here it gives you full creative control with full manual settings,top-end Canon;manual settings;creative control;Mark,109;PRESENT_X;SONY,0,109;PRESENT_X;SONY,0
66,1435219716,138,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,NONE,NONE,CANON,oh that sounds great can you tell me more about it,NO_KEYWORD,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,true it's the kind of camera that goes to the moon NASA is designed lenses that would go with this camera that gives you fantastic low light control,fantastic low light;moon NASA;camera;lenses;kind;control,160;PRESENT_X;CANON,0,160;PRESENT_X;CANON,0
